19470,85,JAPAN,KANAGAWA,YUIGAHAMA,35.283,139.567
65,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55
10376,85,JAPAN,KANAGAWA,SAGAMI BAY,35.2,139.5
10375,85,JAPAN,IWATE,SANRIKU COAST,39,141.7
28202,85,JAPAN,IWATE,KUJI,40.195,141.79
28201,85,JAPAN,IWATE,NODA,40.11,141.82
10901,50,TURKEY,NULL,ISLAND OF PROCONNESUS (MARMARA IS),40.633,27.617
10902,50,ALBANIA,NULL,DURRES,41.3231,19.4414
10377,85,JAPAN,KANAGAWA,KAMAKURA,35.309,139.55
67,50,GREECE,NULL,"HERAKLION (IRAKLION), CRETE",35.339,25.18
16094,50,EGYPT,NULL,EGYPT COAST,NULL,NULL
10904,50,ISRAEL,NULL,AKKO (ACRE),32.924,35.073
10905,50,SYRIA,NULL,SYRIA COAST,NULL,NULL
15732,50,GREECE,NULL,PELOPENNESUS,NULL,NULL
10903,50,GREECE,NULL,"CANDIA, CRETE",35.333,25.133
10909,50,GREECE,NULL,ISLAND OF RHODES,36.167,28
66,50,EGYPT,NULL,ALEXANDRIA,31.2,29.919
10906,50,LEBANON,NULL,LEBANON COAST,NULL,NULL
10910,50,ITALY,VENETO,VENICE,45.439,12.327
10911,50,ITALY,REGIONE SICILIANA,ISLAND OF SICILY,38,15
10912,50,TURKEY,NULL,ISTANBUL (CONSTANTINOPLE),41.019,28.965
69,85,JAPAN,AOMORI,JUSAN-MINATO,41.033,140.333
10914,50,ITALY,CAMPANIA,BAY OF NAPLES,40.83,14.25
10915,50,TURKEY,NULL,"MARMARA SEA, STRAIT OF BOSPORUS",41.03,29
70,50,TURKEY,NULL,ISTANBUL (CONSTANTINOPLE),41.03,29
10916,50,ITALY,NULL,GULF OF VENICE,45.5,12.5
71,85,JAPAN,OSAKA,OSAKA BAY,34.667,135.433
28203,85,JAPAN,NULL,WAKAYAMA,34.2,135.2
19402,85,JAPAN,NULL,OWASE,34.083,136.2
19471,85,JAPAN,OSAKA,SETTSU,34.7782,135.5951
73,85,JAPAN,OSAKA,"NAMBAURA, OSAKA",34.7,135.5
72,85,JAPAN,TOKUSHIMA,AWA,34.06,134.6
75,85,JAPAN,TOKUSHIMA,"NARUTO, TOKUSHIMA",34.183,134.617
76,85,JAPAN,TOKUSHIMA,"YUKI PORT, TOKUSHIMA",33.767,134.6
74,85,JAPAN,OSAKA,"NANIWA, OSAKA",34.65,135.5
10917,50,ALGERIA,NULL,ALGIERS,36.763,3.051
77,50,GREECE,NULL,CHIOS,38.368,26.136
10918,50,GREECE,NULL,GULF OF CORINTH,38.35,22.25
10919,50,,NULL,SYRIA - PALESTINE,NULL,NULL
