10379,131,294,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
28205,131,107,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
15731,3565,81,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
78,132,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10380,133,151,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
25333,135,65,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
79,136,124,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10920,3118,64,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
80,137,22,NULL,NULL,NULL,1,NULL,NULL,3,NULL
19375,5418,22,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10921,3119,38,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
82,142,24,NULL,NULL,NULL,1,NULL,NULL,5,NULL
19403,142,21,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19407,144,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19406,144,197,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19405,144,91,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
6681,145,8,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10409,2993,66,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19404,146,105,NULL,NULL,NULL,1,NULL,NULL,NULL,2000
85,146,137,NULL,NULL,NULL,1,NULL,NULL,10,NULL
7062,146,197,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
86,146,99,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
87,146,89,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
84,146,184,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
88,147,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10922,149,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16350,151,30,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16351,151,15,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16352,151,803,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
